"Code","Description"
"U0106","Lost Communication With Glow Plug Control Module"
"U0107","Lost Communication With Throttle Actuator Control Module"
"U0108","Lost Communication With Alternative Fuel Control Module"
"U0109","Lost Communication With Fuel Pump Control Module"
"U010A","Lost Communication With Exhaust Gas Recirculation Control Module ""A"""
"U010B","Lost Communication With Exhaust Gas Recirculation Control Module ""B"""
"U010C","Lost Communication With Turbocharger/Supercharger Control Module ""A"""
"U010D","Lost Communication With Turbocharger/Supercharger Control Module ""B"""
"U010E","Lost Communication With Reductant Control Module"
"U010F","Lost Communication With Air Conditioning Control Module"
"U0110","Lost Communication With Drive Motor Control Module"
"U0111","Lost Communication With Battery Energy Control Module ""A"""
"U0112","Lost Communication With Battery Energy Control Module ""B"""
"U0113","Lost Communication With Emissions Critical Control Information"
"U0114","Lost Communication With Four-Wheel Drive Clutch Control Module"
"U0115","Lost Communication With ECM/PCM ""B"""
"U0116","Lost Communication With Coolant Temperature Control Module"
"U0117","Lost Communication With PTO Control Module"
"U0118","Lost Communication With Fuel Additive Control Module"
"U0119","Lost Communication With Fuel Cell Control Module"
"U011A","Lost Communication With Exhaust Gas Sensor Module"
"U011B","Lost Communication With Rocker Arm Control Module ""A"""
"U011C","Lost Communication With Rocker Arm Control Module ""B"""
"U011D","Lost Communication With All Wheel Drive Control Module"
"U011E","ISO/SAE Reserved"
"U011F","ISO/SAE Reserved"
"U0120","Lost Communication With Starter / Generator Control Module"
"U0121","Lost Communication With Anti-Lock Brake System (ABS) Control Module"
"U0122","Lost Communication With Vehicle Dynamics Control Module"
"U0123","Lost Communication With Yaw Rate Sensor Module"
"U0124","Lost Communication With Lateral Acceleration Sensor Module"
"U0125","Lost Communication With Multi-axis Acceleration Sensor Module"
"U0126","Lost Communication With Steering Angle Sensor Module"
"U0127","Lost Communication With Tire Pressure Monitor Module"
"U0128","Lost Communication With Park Brake Control Module"
"U0129","Lost Communication With Brake System Control Module"
"U012A","ISO/SAE Reserved"
"U012B","ISO/SAE Reserved"
"U012C","ISO/SAE Reserved"
"U012D","ISO/SAE Reserved"
"U012E","ISO/SAE Reserved"
"U012F","ISO/SAE Reserved"
"U0130","Lost Communication With Steering Effort Control Module"
"U0131","Lost Communication With Power Steering Control Module"
"U0132","Lost Communication With Ride Level Control Module"
"U0133","Lost Communication With Active Roll Control Module"
"U0134","Lost Communication With Power Steering Control Module Rear"
"U0135","Lost Communication With Differential Control Module Front"
"U0136","Lost Communication With Differential Control Module Rear"
"U0137","Lost Communication With Trailer Brake Control Module"
"U0138","Lost Communication With All Terrain Control Module"
"U0139","Lost Communication With Suspension Control Module ""B"""
"U013A","ISO/SAE Reserved"
"U013B","ISO/SAE Reserved"
"U013C","ISO/SAE Reserved"
"U013D","ISO/SAE Reserved"
"U013E","ISO/SAE Reserved"
"U013F","ISO/SAE Reserved"
"U0140","Lost Communication With Body Control Module"
"U0141","Lost Communication With Body Control Module ""A"""
"U0142","Lost Communication With Body Control Module ""B"""
"U0143","Lost Communication With Body Control Module ""C"""
"U0144","Lost Communication With Body Control Module ""D"""
"U0145","Lost Communication With Body Control Module ""E"""
"U0146","Lost Communication With Gateway ""A"""
"U0147","Lost Communication With Gateway ""B"""
"U0148","Lost Communication With Gateway ""C"""
"U0149","Lost Communication With Gateway ""D"""
"U014A","ISO/SAE Reserved"
"U014B","ISO/SAE Reserved"
"U014C","ISO/SAE Reserved"
"U014D","ISO/SAE Reserved"
"U014E","ISO/SAE Reserved"
"U014F","ISO/SAE Reserved"
"U0150","Lost Communication With Gateway ""E"""
"U0151","Lost Communication With Restraints Control Module"
"U0152","Lost Communication With Side Restraints Control Module Left"
"U0153","Lost Communication With Side Restraints Control Module Right"
"U0154","Lost Communication With Restraints Occupant Sensing Control Module"
"U0155","Lost Communication With Instrument Panel Cluster (IPC) Control Module"
"U0156","Lost Communication With Information Center ""A"""
"U0157","Lost Communication With Information Center ""B"""
"U0158","Lost Communication With Head Up Display"
"U0159","Lost Communication With Parking Assist Control Module ""A"""
"U015A","ISO/SAE Reserved"
"U015B","ISO/SAE Reserved"
"U015C","ISO/SAE Reserved"
"U015D","ISO/SAE Reserved"
"U015E","ISO/SAE Reserved"
"U015F","ISO/SAE Reserved"
"U0160","Lost Communication With Audible Alert Control Module"
"U0161","Lost Communication With Compass Module"
"U0162","Lost Communication With Navigation Display Module"
"U0163","Lost Communication With Navigation Control Module"
"U0164","Lost Communication With HVAC Control Module"
"U0165","Lost Communication With Rear HVAC Control Module"
"U0166","Lost Communication With Auxiliary Heater Control Module"
"U0167","Lost Communication With Vehicle Immobilizer Control Module"
"U0168","Lost Communication With Vehicle Security Control Module"
"U0169","Lost Communication With Sunroof Control Module"
"U016A","Lost Communication With Global Positioning System Module"
"U016B","ISO/SAE Reserved"
"U016C","ISO/SAE Reserved"
"U016D","ISO/SAE Reserved"
"U016E","ISO/SAE Reserved"
"U016F","ISO/SAE Reserved"
"U0170","Lost Communication With Restraints System Sensor A"
"U0171","Lost Communication With Restraints System Sensor B"
"U0172","Lost Communication With Restraints System Sensor C"
"U0173","Lost Communication With Restraints System Sensor D"
"U0174","Lost Communication With Restraints System Sensor E"
"U0175","Lost Communication With Restraints System Sensor F"
"U0176","Lost Communication With Restraints System Sensor G"
"U0177","Lost Communication With Restraints System Sensor H"
"U0178","Lost Communication With Restraints System Sensor I"
"U0179","Lost Communication With Restraints System Sensor J"
"U017A","Lost Communication With ""Restraints System Sensor K"""
"U017B","Lost Communication With ""Restraints System Sensor L"""
"U017C","Lost Communication With ""Restraints System Sensor M"""
"U017D","Lost Communication With ""Restraints System Sensor N"""
"U017E","Lost Communication With Seatbelt Pretensioner Module ""A"""
"U017F","Lost Communication With Seatbelt Pretensioner Module ""B"""
"U0180","Lost Communication With Automatic Lighting Control Module"
"U0181","Lost Communication With Headlamp Leveling Control Module"
"U0182","Lost Communication With Front Lighting Control Module"
"U0183","Lost Communication With Rear Lighting Control Module"
"U0184","Lost Communication With Radio"
"U0185","Lost Communication With Antenna Control Module"
"U0186","Lost Communication With Audio Amplifier ""A"""
"U0187","Lost Communication With Digital Disc Player/Changer Module ""A"""
"U0188","Lost Communication With Digital Disc Player/Changer Module ""B"""
"U0189","Lost Communication With Digital Disc Player/Changer Module ""C"""
"U018A","ISO/SAE Reserved"
"U018B","ISO/SAE Reserved"
"U018C","ISO/SAE Reserved"
"U018D","ISO/SAE Reserved"
"U018E","ISO/SAE Reserved"
"U018F","ISO/SAE Reserved"
"U0190","Lost Communication With Digital Disc Player/Changer Module ""D"""
"U0191","Lost Communication With Television"
"U0192","Lost Communication With Personal Computer"
"U0193","Lost Communication With ""Digital Audio Control Module A"""
"U0194","Lost Communication With ""Digital Audio Control Module B"""
"U0195","Lost Communication With Subscription Entertainment Receiver Module"
"U0196","Lost Communication With Rear Seat Entertainment Control Module"
"U0197","Lost Communication With Telephone Control Module"
"U0198","Lost Communication With Telematic Control Module"
"U0199","Lost Communication With ""Door Control Module A"""
"U0200","Lost Communication With ""Door Control Module B"""
"U0201","Lost Communication With ""Door Control Module C"""
"U0202","Lost Communication With ""Door Control Module D"""
"U0203","Lost Communication With ""Door Control Module E"""
"U0204","Lost Communication With ""Door Control Module F"""
"U0205","Lost Communication With ""Door Control Module G"""
"U0206","Lost Communication With Folding Top Control Module"
"U0207","Lost Communication With Movable Roof Control Module"
"U0208","Lost Communication With ""Seat Control Module A"""
"U0209","Lost Communication With ""Seat Control Module B"""
"U020A"," U020B, U020C, U020D, U020E, U020F ISO/SAE Reserved"
"U0210","Lost Communication With ""Seat Control Module C"""
"U0211","Lost Communication With ""Seat Control Module D"""
"U0212","Lost Communication With Steering Column Control Module"
"U0213","Lost Communication With Mirror Control Module"
"U0214","Lost Communication With Remote Function Actuation"
"U0215","Lost Communication With ""Door Switch A"""
"U0216","Lost Communication With ""Door Switch B"""
"U0217","Lost Communication With ""Door Switch C"""
"U0218","Lost Communication With ""Door Switch D"""
"U0219","Lost Communication With ""Door Switch E"""
"U021A","ISO/SAE Reserved"
"U021B","ISO/SAE Reserved"
"U021C","ISO/SAE Reserved"
"U021D","ISO/SAE Reserved"
"U021E","ISO/SAE Reserved"
"U021F","ISO/SAE Reserved"
"U0220","Lost Communication With ""Door Switch F"""
"U0221","Lost Communication With ""Door Switch G"""
"U0222","Lost Communication With ""Door Window Motor A"""
"U0223","Lost Communication With ""Door Window Motor B"""
"U0224","Lost Communication With ""Door Window Motor C"""
"U0225","Lost Communication With ""Door Window Motor D"""
"U0226","Lost Communication With ""Door Window Motor E"""
"U0227","Lost Communication With ""Door Window Motor F"""
"U0228","Lost Communication With ""Door Window Motor G"""
"U0229","Lost Communication With Heated Steering Wheel Module"
"U022A","ISO/SAE Reserved"
"U022B","ISO/SAE Reserved"
"U022C","ISO/SAE Reserved"
"U022D","ISO/SAE Reserved"
"U022E","ISO/SAE Reserved"
"U022F","ISO/SAE Reserved"
"U0230","Lost Communication With Rear Gate Module"
"U0231","Lost Communication With Rain Sensing Module"
"U0232","Lost Communication With Left Side Obstacle Detection Control Module"
"U0233","Lost Communication With Right Side Obstacle Detection Control Module"
"U0234","Lost Communication With Convenience Recall Module"
"U0235","Lost Communication With Cruise Control Front Distance Range Sensor"
"U0236","Lost Communication With Column Lock Module"
"U0237","Lost Communication With ""Digital Audio Control Module C"""
"U0238","Lost Communication With ""Digital Audio Control Module D"""
"U0239","Lost Communication With Entrapment Control Module ""A"""
"U023A","Lost Communication With Image Processing Module ""A"""
"U023B","Lost Communication With Image Processing Module ""B"""
"U023C","Lost Communication With Image Processing Module ""C"""
"U023D","Lost Communication With Cruise Control Front Distance Range Sensor Left"
"U023E","Lost Communication With Cruise Control Front Distance Range Sensor Right"
"U023F","ISO/SAE Reserved"
"U0240","Lost Communication With Entrapment Control Module ""B"""
"U0241","Lost Communication With Headlamp Control Module ""A"""
"U0242","Lost Communication With Headlamp Control Module ""B"""
"U0243","Lost Communication With Parking Assist Control Module ""B"""
"U0244","Lost Communication With Running Board Control Module ""A"""
"U0245","Lost Communication With Entertainment Control Module Front"
"U0246","Lost Communication With ""Seat Control Module E"""
"U0247","Lost Communication With ""Seat Control Module F"""
"U0248","Lost Communication With Remote Accessory Module"
"U0249","Lost Communication With Entertainment Control Module Rear ""B"""
"U024A","Lost Communication With Interior Lighting Control Module"
"U024B","ISO/SAE Reserved"
"U024C","ISO/SAE Reserved"
"U024D","ISO/SAE Reserved"
"U024E","ISO/SAE Reserved"
"U024F","ISO/SAE Reserved"
"U0250","Lost Communication With Impact Classification System Module"
"U0251","Lost Communication With Running Board Control Module ""B"""
"U0252","Lost Communication With Lighting Control Module Rear ""B"""
"U0253","Lost Communication With Accessory Protocol Interface Module"
"U0254","Lost Communication With Remote Start Module"
"U0255","Lost Communication With Front Display Interface Module"
"U0256","Lost Communication With Front Controls Interface Module ""A"""
"U0257","Lost Communication With Front Controls/Display Interface Module"
"U0258","Lost Communication With Radio Transceiver"
"U0259","Lost Communication With Special Purpose Vehicle Control Module ""A"""
"U025A","Lost Communication With Special Purpose Vehicle Control Module ""B"""
"U025B","Lost Communication With Special Purpose Vehicle Control Module ""C"""
"U025C","Lost Communication With Special Purpose Vehicle Control Module ""D"""
"U025D","Lost Communication With Front Controls Interface Module ""B"""
"U025E","ISO/SAE Reserved"
"U025F","ISO/SAE Reserved"
"U0260","Lost Communication With Seat Control Switch Module ""A"""
"U0261","Lost Communication With Seat Control Switch Module ""B"""
"U0262","Lost Communication With Audio Amplifier ""B"""
"U0263","Lost Communication With Speech Recognition Module"
"U0264","Lost Communication With Camera Module Rear"
"U0265","ISO/SAE Reserved"
"U0266","ISO/SAE Reserved"
"U0267","ISO/SAE Reserved"
"U0268","ISO/SAE Reserved"
"U0269","ISO/SAE Reserved"
"U0270","ISO/SAE Reserved"
"U0271","ISO/SAE Reserved"
"U0272","ISO/SAE Reserved"
"U0273","ISO/SAE Reserved"
"U0274","ISO/SAE Reserved"
"U0275","ISO/SAE Reserved"
"U0276","ISO/SAE Reserved"
"U0277","ISO/SAE Reserved"
"U0278","ISO/SAE Reserved"
"U0279","ISO/SAE Reserved"
"U0280","ISO/SAE Reserved"
"U0281","ISO/SAE Reserved"
"U0282","ISO/SAE Reserved"
"U0283","ISO/SAE Reserved"
"U0284","ISO/SAE Reserved"
"U0285","ISO/SAE Reserved"
"U0286","Lost Communication With Radiator Anti Tamper Device"
"U0287","Lost Communication With Transmission Fluid Pump Module"
"U0288","Lost Communication With DC to AC Converter Control Module ""A"""
"U0289","Lost Communication With DC to AC Converter Control Module ""B"""
"U028A","ISO/SAE Reserved"
"U028B","ISO/SAE Reserved"
"U028C","ISO/SAE Reserved"
"U028D","ISO/SAE Reserved"
"U028E","ISO/SAE Reserved"
"U028F","ISO/SAE Reserved"
"U0290","ISO/SAE Reserved"
"U0291","Lost Communication With Gear Shift Control Module ""B"""
"U0292","Lost Communication With Drive Motor Control Module ""B"""
"U0293","Lost Communication With Hybrid Powertrain Control Module"
"U0294","Lost Communication With Powertrain Control Monitor Module"
"U0295","Lost Communication With AC to AC Converter Control Module"
"U0296","Lost Communication With AC to DC Converter Control Module ""A"""
"U0297","Lost Communication With AC to DC Converter Control Module ""B"""
"U0298","Lost Communication With DC to DC Converter Control Module ""A"""
"U0299","Lost Communication With DC to DC Converter Control Module ""B"""
"U029A","Lost Communication With Hybrid Battery Pack Sensor Module"
"U029B","Lost Communication With Drive Motor Control Module ""C"""
"U029C","Lost Communication With Drive Motor Control Module ""D"""
"U029D","Lost Communication With NOX Sensor ""A"""
"U029E","Lost Communication With NOX Sensor ""B"""
"U0300","Internal Control Module Software Incompatibility"
"U0301","Software Incompatibility with ECM/PCM"
"U0302","Software Incompatibility with Transmission Control Module"
"U0303","Software Incompatibility with Transfer Case Control Module"
"U0304","Software Incompatibility with Gear Shift Control Module"
"U0305","Software Incompatibility with Cruise Control Module"
"U0306","Software Incompatibility with Fuel Injector Control Module"
"U0307","Software Incompatibility with Glow Plug Control Module"
"U0308","Software Incompatibility with Throttle Actuator Control Module"
"U0309","Software Incompatibility with Alternative Fuel Control Module"
"U0310","Software Incompatibility with Fuel Pump Control Module"
"U0311","Software Incompatibility with Drive Motor Control Module"
"U0312","Software Incompatibility with Battery Energy Control Module A"
"U0313","Software Incompatibility with Battery Energy Control Module B"
"U0314","Software Incompatibility with Four-Wheel Drive Clutch Control Module"
"U0315","Software Incompatibility with Anti-Lock Brake System Control Module"
"U0316","Software Incompatibility with Vehicle Dynamics Control Module"
"U0317","Software Incompatibility with Park Brake Control Module"
"U0318","Software Incompatibility with Brake System Control Module"
"U0319","Software Incompatibility with Steering Effort Control Module"
"U0320","Software Incompatibility with Power Steering Control Module"
"U0321","Software Incompatibility with Ride Level Control Module"
"U0322","Software Incompatibility with Body Control Module"
"U0323","Software Incompatibility with Instrument Panel Control Module"
"U0324","Software Incompatibility with HVAC Control Module"
"U0325","Software Incompatibility with Auxiliary Heater Control Module"
"U0326","Software Incompatibility with Vehicle Immobilizer Control Module"
"U0327","Software Incompatibility with Vehicle Security Control Module"
"U0328","Software Incompatibility with Steering Angle Sensor Module"
"U0329","Software Incompatibility with Steering Column Control Module"
"U0330","Software Incompatibility with Tire Pressure Monitor Module"
"U0331","Software Incompatibility with Body Control Module ""A"""
"U0400","Invalid Data Received "
"U0401","Invalid Data Received From ECM/PCM"
"U0402","Invalid Data Received From Transmission Control Module"
"U0403","Invalid Data Received From Transfer Case Control Module"
"U0404","Invalid Data Received From Gear Shift Control Module"
"U0405","Invalid Data Received From Cruise Control Module"
"U0406","Invalid Data Received From Fuel Injector Control Module"
"U0407","Invalid Data Received From Glow Plug Control Module"
"U0408","Invalid Data Received From Throttle Actuator Control Module"
"U0409","Invalid Data Received From Alternative Fuel Control Module"
"U040A","Invalid Data Received From Air Conditioning Control Module"
"U040B","Invalid Data Received From Exhaust Gas Recirculation Control Module ""A"""
"U040C","Invalid Data Received From Exhaust Gas Recirculation Control Module ""B"""
"U040D","Invalid Data Received From Turbocharger/Supercharger Control Module ""A"""
"U040E","Invalid Data Received From Turbocharger/Supercharger Control Module ""B"""
"U040F","Invalid Data Received From Reductant Control Module"
"U0410","Invalid Data Received From Fuel Pump Control Module"
"U0411","Invalid Data Received From Drive Motor Control Module"
"U0412","Invalid Data Received From Battery Energy Control Module A"
"U0413","Invalid Data Received From Battery Energy Control Module B"
"U0414","Invalid Data Received From Four-Wheel Drive Clutch Control Module"
"U0415","Invalid Data Received From Anti-Lock Brake System Control Module"
"U0416","Invalid Data Received From Vehicle Dynamics Control Module"
"U0417","Invalid Data Received From Park Brake Control Module"
"U0418","Invalid Data Received From Brake System Control Module"
"U0419","Invalid Data Received From Steering Effort Control Module"
"U041A","ISO/SAE Reserved"
"U041B","Invalid Data Received From Exhaust Gas Sensor Module"
"U041C","Invalid Data Received From Rocker Arm Control Module ""A"""
"U041D","Invalid Data Received From Rocker Arm Control Module ""B"""
"U041E","Invalid Data Received From All Wheel Drive Control Module"
"U041F","ISO/SAE Reserved"
"U0420","Invalid Data Received From Power Steering Control Module"
"U0421","Invalid Data Received From Ride Level Control Module"
"U0422","Invalid Data Received From Body Control Module"
"U0423","Invalid Data Received From Instrument Panel Control Module"
"U0424","Invalid Data Received From HVAC Control Module"
"U0425","Invalid Data Received From Auxiliary Heater Control Module"
"U0426","Invalid Data Received From Vehicle Immobilizer Control Module"
"U0427","Invalid Data Received From Vehicle Security Control Module"
"U0428","Invalid Data Received From Steering Angle Sensor Module"
"U0429","Invalid Data Received From Steering Column Control Module"
"U0430","Invalid Data Received From Tire Pressure Monitor Module"
"U0431","Invalid Data Received From Body Control Module ""A"""
"U0432","Invalid Data Received From Multi-axis Acceleration Sensor Module"
"U0433","Invalid Data Received From Cruise Control Front Distance Range Sensor Single Sensor or Center"
"U0434","Invalid Data Received From Active Roll Control Module"
"U0435","Invalid Data Received From Power Steering Control Module Rear"
"U0436","Invalid Data Received From Differential Control Module Front"
"U0437","Invalid Data Received From Differential Control Module Rear"
"U0438","Invalid Data Received From Trailer Brake Control Module"
"U0439","Invalid Data Received From All Terrain Control Module"
"U043A","Invalid Data Received From Suspension Control Module ""B"""
"U043B","Invalid Data Received From Cruise Control Front Distance Range Sensor Left"
"U043C","Invalid Data Received From Cruise Control Front Distance Range Sensor Right"
"U043D","ISO/SAE Reserved"
"U043E","ISO/SAE Reserved"
"U043F","ISO/SAE Reserved"
"U0440","ISO/SAE Reserved"
"U0441","Invalid Data Received From Emissions Critical Control Information"
"U0442","Invalid Data Received From ECM/PCM ""B"""
"U0443","Invalid Data Received From Body Control Module ""B"""
"U0444","Invalid Data Received From Body Control Module ""C"
"U0445","Invalid Data Received From Body Control Module ""D"""
"U0446","Invalid Data Received From Body Control Module ""E"""
"U0447","Invalid Data Received From Gateway ""A"""
"U0448","Invalid Data Received From Gateway ""B"""
"U0449","Invalid Data Received From Gateway ""C"""
"U044A","Invalid Data Received From Gateway ""D"""
"U044B","ISO/SAE Reserved"
"U044C","ISO/SAE Reserved"
"U044D","ISO/SAE Reserved"
"U044E","ISO/SAE Reserved"
"U044F","ISO/SAE Reserved"
"U0450","ISO/SAE Reserved"
"U0451","Invalid Data Received From Gateway ""E"""
"U0452","Invalid Data Received From Restraints Control Module"
"U0453","Invalid Data Received From Side Restraints Control Module Left"
"U0454","Invalid Data Received From Side Restraints Control Module Right"
"U0455","Invalid Data Received From Restraints Occupant Classification System Module"
"U0456","Invalid Data Received From Coolant Temperature Control Module"
"U0457","Invalid Data Received From Information Center ""A"""
"U0458","Invalid Data Received From Information Center ""B"""
"U0459","Invalid Data Received From Head Up Display"
"U045A","Invalid Data Received From Parking Assist Control Module ""A"""
"U045B","ISO/SAE Reserved"
"U045C","ISO/SAE Reserved"
"U045D","ISO/SAE Reserved"
"U045E","ISO/SAE Reserved"
"U045F","ISO/SAE Reserved"
"U0460","ISO/SAE Reserved"
"U0461","Invalid Data Received From Audible Alert Control Module"
"U0462","Invalid Data Received From Compass Module"
"U0463","Invalid Data Received From Navigation Display Module"
"U0464","Invalid Data Received From Navigation Control Module"
"U0465","Invalid Data Received From PTO Control Module"
"U0466","Invalid Data Received From HVAC Control Module Rear"
"U0467","Invalid Data Received From Fuel Additive Control Module"
"U0468","Invalid Data Received From Fuel Cell Control Module"
"U0469","Invalid Data Received From Starter / Generator Control Module"
"U046A","Invalid Data Received From Sunroof Control Module"
"U046B","Invalid Data Received From Global Positioning System Module"
"U046C","ISO/SAE Reserved"
"U046D","ISO/SAE Reserved"
"U046E","ISO/SAE Reserved"
"U046F","ISO/SAE Reserved"
"U0470","ISO/SAE Reserved"
"U0471","Invalid Data Received From ""Restraints System Sensor A"""
"U0472","Invalid Data Received From ""Restraints System Sensor B"""
"U0473","Invalid Data Received From ""Restraints System Sensor C"""
"U0474","Invalid Data Received From ""Restraints System Sensor D"""
"U0475","Invalid Data Received From ""Restraints System Sensor E"""
"U0476","Invalid Data Received From ""Restraints System Sensor F"""
"U0477","Invalid Data Received From ""Restraints System Sensor G"""
"U0478","Invalid Data Received From ""Restraints System Sensor H"""
"U0479","Invalid Data Received From ""Restraints System Sensor I"""
"U047A","Invalid Data Received From ""Restraints System Sensor J"""
"U047B","Invalid Data Received From ""Restraints System Sensor K"""
"U047C","Invalid Data Received From ""Restraints System Sensor L"""
"U047D","Invalid Data Received From ""Restraints System Sensor M"""
"U047E","Invalid Data Received From ""Restraints System Sensor N"""
"U047F","Invalid Data Received From Seatbelt Pretensioner Module ""A"""
"U0480","Invalid Data Received From Seatbelt Pretensioner Module ""B"""
"U0481","Invalid Data Received From Automatic Lighting Control Module"
"U0482","Invalid Data Received From Headlamp Leveling Control Module"
"U0483","Invalid Data Received From Lighting Control Module Front"
"U0484","Invalid Data Received From Lighting Control Module Rear ""A"""
"U0485","Invalid Data Received From Radio"
"U0486","Invalid Data Received From Antenna Control Module"
"U0487","Invalid Data Received From Audio Amplifier ""A"""
"U0488","Invalid Data Received From Digital Disc Player/Changer Module ""A"""
"U0489","Invalid Data Received From Digital Disc Player/Changer Module ""B"""
"U048A","Invalid Data Received From Digital Disc Player/Changer Module ""C"""
"U048B","ISO/SAE Reserved"
"U048C","ISO/SAE Reserved"
"U048D","ISO/SAE Reserved"
"U048E","ISO/SAE Reserved"
"U048F","ISO/SAE Reserved"
"U0490","ISO/SAE Reserved"
